"ID","TARGET","glm"
4448,0,2.22044604925031e-16
43891,0,2.22044604925031e-16
41094,0,2.22044604925031e-16
53219,0,2.22044604925031e-16
580,0,2.22044604925031e-16
151057,0,2.22044604925031e-16
12832,0,2.22044604925031e-16
74032,0,2.22044604925031e-16
5891,0,2.22044604925031e-16
54395,0,2.22044604925031e-16
98666,0,2.22044604925031e-16
101314,0,2.22044604925031e-16
42223,0,2.22044604925031e-16
128354,0,2.22044604925031e-16
110138,0,2.22044604925031e-16
88711,0,2.22044604925031e-16
52854,0,2.22044604925031e-16
110052,0,2.22044604925031e-16
56634,0,2.22044604925031e-16
3256,0,1
87742,0,2.22044604925031e-16
31094,0,2.22044604925031e-16
7401,0,2.22044604925031e-16
42091,0,2.22044604925031e-16
64520,0,2.22044604925031e-16
102468,0,2.22044604925031e-16
87818,0,2.22044604925031e-16
17196,0,2.22044604925031e-16
37903,0,1
149881,0,2.22044604925031e-16
144215,0,2.22044604925031e-16
90785,0,2.22044604925031e-16
121934,0,2.22044604925031e-16
51324,0,2.22044604925031e-16
91411,0,2.22044604925031e-16
47007,0,2.22044604925031e-16
40933,0,2.22044604925031e-16
83988,0,2.22044604925031e-16
83955,0,1
25427,0,1
107638,0,2.22044604925031e-16
151368,0,2.22044604925031e-16
12483,0,2.22044604925031e-16
1043,0,2.22044604925031e-16
27086,0,2.22044604925031e-16
55652,0,2.22044604925031e-16
128931,0,2.22044604925031e-16
52749,0,1
43112,0,2.22044604925031e-16
28561,0,1
140722,0,2.22044604925031e-16
71245,0,1
104769,0,2.22044604925031e-16
97760,0,2.22044604925031e-16
102940,0,2.22044604925031e-16
37962,0,2.22044604925031e-16
85654,0,2.22044604925031e-16
72267,0,2.22044604925031e-16
17315,0,2.22044604925031e-16
40197,0,2.22044604925031e-16
117170,0,2.22044604925031e-16
104830,0,2.22044604925031e-16
81134,1,2.22044604925031e-16
138840,0,2.22044604925031e-16
6402,0,2.22044604925031e-16
50977,0,2.22044604925031e-16
115081,0,2.22044604925031e-16
121119,0,2.22044604925031e-16
104627,0,2.22044604925031e-16
8326,0,2.22044604925031e-16
2336,0,2.22044604925031e-16
106492,0,2.22044604925031e-16
90509,0,2.22044604925031e-16
57561,0,2.22044604925031e-16
88949,0,2.22044604925031e-16
140668,0,2.22044604925031e-16
42700,1,2.22044604925031e-16
132594,0,2.22044604925031e-16
107089,0,2.22044604925031e-16
69512,0,2.22044604925031e-16
6509,0,2.22044604925031e-16
112988,0,2.22044604925031e-16
10414,0,2.22044604925031e-16
138801,0,2.22044604925031e-16
94824,0,2.22044604925031e-16
75334,0,2.22044604925031e-16
72474,0,2.22044604925031e-16
34386,0,2.22044604925031e-16
75763,1,1
148472,0,2.22044604925031e-16
83469,0,2.22044604925031e-16
119559,0,2.22044604925031e-16
68954,0,2.22044604925031e-16
17861,0,2.22044604925031e-16
68012,0,2.22044604925031e-16
145885,0,2.22044604925031e-16
60855,0,2.22044604925031e-16
115526,0,2.22044604925031e-16
41780,0,2.22044604925031e-16
91570,0,2.22044604925031e-16
66004,0,2.22044604925031e-16
62338,0,2.22044604925031e-16
54714,0,2.22044604925031e-16
44859,0,2.22044604925031e-16
27866,0,2.22044604925031e-16
47027,0,2.22044604925031e-16
75465,0,2.22044604925031e-16
43486,0,2.22044604925031e-16
69246,0,2.22044604925031e-16
46050,0,1
143478,0,2.22044604925031e-16
98875,0,2.22044604925031e-16
59251,0,2.22044604925031e-16
39469,0,1
38981,0,2.22044604925031e-16
62758,0,2.22044604925031e-16
62713,0,2.22044604925031e-16
30193,0,2.22044604925031e-16
126413,0,2.22044604925031e-16
1527,0,2.22044604925031e-16
75260,0,2.22044604925031e-16
78938,0,2.22044604925031e-16
29525,1,2.22044604925031e-16
130312,0,2.22044604925031e-16
81529,0,2.22044604925031e-16
143974,0,2.22044604925031e-16
148449,0,2.22044604925031e-16
70694,0,2.22044604925031e-16
32775,0,2.22044604925031e-16
4397,0,2.22044604925031e-16
151396,0,2.22044604925031e-16
103391,0,2.22044604925031e-16
99107,1,1
35085,0,2.22044604925031e-16
21474,0,2.22044604925031e-16
131126,0,2.22044604925031e-16
61275,0,2.22044604925031e-16
147618,0,2.22044604925031e-16
42090,0,2.22044604925031e-16
52531,1,2.22044604925031e-16
83089,0,2.22044604925031e-16
135271,0,2.22044604925031e-16
124495,0,2.22044604925031e-16
100288,0,2.22044604925031e-16
67452,0,2.22044604925031e-16
128133,0,2.22044604925031e-16
42331,0,2.22044604925031e-16
148783,0,2.22044604925031e-16
124571,1,2.22044604925031e-16
90506,0,2.22044604925031e-16
76116,0,2.22044604925031e-16
87657,0,2.22044604925031e-16
150904,0,2.22044604925031e-16
139872,0,2.22044604925031e-16
61908,0,2.22044604925031e-16
47109,0,2.22044604925031e-16
131350,0,2.22044604925031e-16
104078,0,2.22044604925031e-16
151695,0,1
14454,1,1
116374,0,2.22044604925031e-16
